Item,Item_original,Condition,Sentence,LastWord,original_dataset,RT_Control,RT_Patient,Gap_Cost,Selection_Criteria,number_letters,word_frequency,spelling_modified,cloze_probability,Meaningful,word_count,log_word_freq,block_order
1,1,Practice,In the evening grandpa smokes using his,pipe,peele,none,none,none,none,4,none,no,0.96,TRUE,7,none,0
2,7,Practice,The crime rate has gone up this,banana,block_baldwin,none,none,none,none,6,none,no,0.81,FALSE,7,none,0
3,86,Practice,"While his parents vacationed, the kid threw a huge",fit,peele,none,none,none,none,3,none,no,0.84,TRUE,9,none,0
4,14,Practice,Andrea watered her garden with a small,bear,peele,none,none,none,none,4,none,no,0.45,FALSE,7,none,0
5,4,Practice,She made herself a sandwich and chips for,lunch,block_baldwin,none,none,none,none,5,none,no,0.9,TRUE,8,none,0
6,117,Practice,The teacher was afraid of germs and getting,infected,peele,none,none,none,none,8,none,no,0.92,TRUE,8,none,0
7,6,Practice,The janitor accidentally spilled some water on the,moon,block_baldwin,none,none,none,none,4,none,no,0.88,FALSE,8,none,0
8,131,Practice,Claire claimed motherhood was the hardest job she ever,accomplished,peele,none,none,none,none,12,none,no,0.82,TRUE,9,none,0
9,9,Practice,The couple's trip was ruined when it began to,rain,peele,none,none,none,none,4,none,no,0.85,TRUE,9,none,0
10,83,Predictable,Jamie preferred to use cooking foil made of,aluminum,peele,0.0933017075661765,0.130127412133929,0.0368257045677521,Fastest_Baseline_Ctrl,8,14118370,no,0.81,TRUE,8,7.14978455926052,1
12,28,Predictable,Ana accidentally tripped and fell down the,stairs,block_baldwin,0.101705468372549,0.158452124666667,0.0567466562941177,Fastest_Baseline_Ctrl,6,4476933,no,0.88,TRUE,7,6.65098059495347,1
14,26,Predictable,Ellen replaced the fuse that no longer,worked,block_baldwin,0.126432735009804,0.164603849697917,0.0381711146881127,Fastest_Baseline_Ctrl,6,38254292,no,0.86,TRUE,7,7.58268016857057,1
16,64,Predictable,George must keep his pet on a,leash,block_baldwin,0.132891327682353,0.2091265331125,0.0762352054301471,Fastest_Baseline_Ctrl,5,1311597,no,0.9,TRUE,7,6.11780041464193,1
18,35,Predictable,The knight prepared for battle and drew his,sword,block_baldwin,0.137699406906667,0.2053106076625,0.0676112007558334,Fastest_Baseline_Ctrl,5,8865097,yes,0.91,TRUE,8,6.9476834919205,1
20,37,Predictable,The bride smiled as she walked down the,aisle,block_baldwin,0.141257656905882,0.212189027671429,0.0709313707655462,Fastest_Baseline_Ctrl,5,1919732,no,0.88,TRUE,8,6.28324060420093,1
22,55,Predictable,Although Keith bowled well he did not have the highest,score,block_baldwin,0.152581992541176,0.228204420835294,0.0756224282941177,Fastest_Baseline_Ctrl,5,69946284,no,0.94,TRUE,10,7.84476464690272,1
24,52,Predictable,The librarian sternly told us to be,quiet,block_baldwin,0.154765142117647,0.22519128044,0.0704261383223529,Fastest_Baseline_Ctrl,5,16787246,no,0.8,TRUE,7,7.22497945461896,1
26,45,Predictable,Jan tried to squeeze in but there was no,room,block_baldwin,0.158739717147059,0.241060894333333,0.0823211771862745,Fastest_Baseline_Ctrl,4,179794224,no,0.85,TRUE,9,8.25477573564404,1
28,63,Predictable,American Presidents are limited to serving a period of eight,years,block_baldwin,0.159662789746667,0.215102777986667,0.05543998824,Fastest_Baseline_Ctrl,5,352363058,no,0.84,TRUE,10,8.5469903703764,1
30,75,Predictable,The shape of the woman's crystal ball was,round,block_baldwin,0.164925868564706,0.24060404095,0.0756781723852941,Fastest_Baseline_Ctrl,5,62452044,no,0.82,TRUE,8,7.7955466570159,1
32,47,Predictable,"After hitting the iceberg, the ship began to",sink,block_baldwin,0.165464840640625,0.247477585985294,0.0820127453446691,Fastest_Baseline_Ctrl,4,8133475,no,0.96,TRUE,8,6.91027613610871,1
34,58,Predictable,The gas station is about two miles down the,road,block_baldwin,0.166652988529412,0.224949918691177,0.0582969301617647,Fastest_Baseline_Ctrl,4,134754203,no,0.88,TRUE,9,8.1295423197678,1
36,27,Predictable,"When the two met, one of them held out his",hand,block_baldwin,0.167034615235294,0.247577616132353,0.0805430008970588,Fastest_Baseline_Ctrl,4,123595776,no,0.95,TRUE,10,8.09200362859067,1
38,42,Predictable,The accountant ironed a shirt before going to,work,block_baldwin,0.17615300375,0.274771798484375,0.098618794734375,Fastest_Baseline_Ctrl,4,446236148,no,0.9,TRUE,8,8.64956474802101,1
40,302,Meaningless,Surfers are scared of getting bitten by a,mirror,block_baldwin,0.1278520601,0.171262312137255,0.0434102520372549,Median_Control,6,21617803,no,0.92,FALSE,8,7.33481155485968,1
42,294,Meaningless,"To prevent football injury, all players must wear shoulder",mistake,block_baldwin,0.132428636571429,0.185322917017857,0.0528942804464286,Median_Control,7,10869967,no,0.96,FALSE,9,7.03622822561898,1
44,297,Meaningless,Success is often just a matter of hard,scream,block_baldwin,0.148017868822222,0.17516699225,0.0271491234277778,Median_Control,6,4315852,yes,0.93,FALSE,8,6.63506654335902,1
46,288,Meaningless,During the holidays it is very expensive to book a,snake,block_baldwin,0.159005950026667,0.197491121564706,0.0384851715380392,Median_Control,5,7615672,yes,0.81,FALSE,10,6.88170823111466,1
48,304,Meaningless,The directions did not match any roads on the,anger,block_baldwin,0.1758204916,0.22157375645,0.04575326485,Median_Control,5,8002746,no,0.85,FALSE,9,6.9032390329943,1
50,299,Meaningless,The baby bird was ready to learn to,drive,block_baldwin,0.1854554889625,0.261179822615385,0.0757243336528846,Median_Control,5,109504766,no,0.91,FALSE,8,8.03943302148168,1
52,293,Meaningless,He had a long day and was in a bad,bake,block_baldwin,0.194535120588235,0.301009320308823,0.106474199720588,Median_Control,4,3793474,no,0.95,FALSE,10,6.57903711180981,1
54,298,Meaningless,Many brunettes like to dye their hair,cold,block_baldwin,0.200908884421875,0.2809298599375,0.080020975515625,Median_Control,4,41281263,no,0.86,FALSE,7,7.61575297605955,1
56,283,Meaningless,When Colin saw smoke he called 911 to report a,kick,block_baldwin,0.202779785366667,0.266441697558824,0.0636619121921569,Median_Control,4,12992179,no,0.91,FALSE,10,7.11368199543903,1
58,285,Meaningless,The building isn't for sale but it's available to,kill,peele,0.203262809033333,0.292713889897059,0.0894510808637255,Median_Control,4,24970551,no,0.81,FALSE,9,7.39742812559602,1
60,265,Meaningless,The boy screamed after he was stung by a,tone,peele,0.2083363834375,0.24835382571875,0.04001744228125,Median_Control,4,17489966,no,0.81,FALSE,9,7.24278896522329,1
62,267,Meaningless,"When Jen showed the treat, Maggie's tail began to",hold,peele,0.219460214890625,0.315511666375,0.096051451484375,Median_Control,4,64197954,no,0.96,FALSE,9,7.80752118724846,1
64,287,Meaningless,I had no key to open the locked,loss,block_baldwin,0.22438460871875,0.291850558205882,0.0674659494871324,Median_Control,4,83845349,no,0.89,FALSE,8,7.92347897678519,1
66,278,Meaningless,Jenny lit the candles on the birthday,bath,block_baldwin,0.240166054367647,0.2721483074375,0.031982253069853,Median_Control,4,30641959,no,0.94,FALSE,7,7.48631652713855,1
68,286,Meaningless,The castle was protected by its stone,fans,block_baldwin,0.256822770078125,0.308918309153846,0.0520955390757212,Median_Control,4,29390369,no,0.86,FALSE,7,7.46820503873195,1
70,103,Switching,The fisherman easily put the bait on the,rod,peele,0.286859822125,0.467250376666667,0.180390554541667,Biggest Gap,3,13158826,no,0.93,TRUE,8,7.11921714425777,1
72,138,Switching,Our walk was illuminated by the light of the,sun,peele,0.2730051366875,0.4506953524,0.1776902157125,Biggest Gap,3,123311561,no,0.84,TRUE,9,8.09100379551814,1
